model_name,epsilon,accuracy
SINCERE,0.00000,0.74380
SINCERE,0.05000,0.73940
SINCERE,0.10000,0.73650
SINCERE,0.15000,0.73280
SINCERE,0.20000,0.72750
SINCERE,0.25000,0.72320
SINCERE,0.30000,0.71990
SINCERE,0.35000,0.71560
SINCERE,0.40000,0.71060
SINCERE,0.45000,0.70640
SINCERE,0.50000,0.70280
SINCERE,0.55000,0.69980
SINCERE,0.60000,0.69700
SINCERE,0.65000,0.69260
SINCERE,0.70000,0.68850
SINCERE,0.75000,0.68410
SINCERE,0.80000,0.67970
SINCERE,0.85000,0.67590
SINCERE,0.90000,0.67060
SINCERE,0.95000,0.66540
SINCERE,1.00000,0.65800
SINCERE,1.05000,0.64870
SINCERE,1.10000,0.63950
SINCERE,1.15000,0.62320
SINCERE,1.20000,0.55540
SINCERE,1.25000,0.29580
SINCERE,1.30000,0.00490
SINCERE,1.35000,0.00000
SINCERE,1.40000,0.00000
SINCERE,1.45000,0.00000
SINCERE,1.50000,0.00000
SupCon,0.00000,0.74790
SupCon,0.05000,0.74210
SupCon,0.10000,0.73710
SupCon,0.15000,0.73070
SupCon,0.20000,0.72490
SupCon,0.25000,0.71900
SupCon,0.30000,0.71380
SupCon,0.35000,0.70780
SupCon,0.40000,0.70250
SupCon,0.45000,0.69780
SupCon,0.50000,0.69240
SupCon,0.55000,0.68680
SupCon,0.60000,0.68130
SupCon,0.65000,0.67570
SupCon,0.70000,0.67050
SupCon,0.75000,0.66330
SupCon,0.80000,0.65560
SupCon,0.85000,0.64680
SupCon,0.90000,0.63850
SupCon,0.95000,0.62820
SupCon,1.00000,0.61690
SupCon,1.05000,0.60420
SupCon,1.10000,0.58210
SupCon,1.15000,0.53860
SupCon,1.20000,0.44010
SupCon,1.25000,0.13440
SupCon,1.30000,0.00010
SupCon,1.35000,0.00000
SupCon,1.40000,0.00000
SupCon,1.45000,0.00000
SupCon,1.50000,0.00000
