model_name,epsilon,accuracy
SINCERE,0.00000,0.92300
SINCERE,0.05000,0.92050
SINCERE,0.10000,0.91700
SINCERE,0.15000,0.91550
SINCERE,0.20000,0.91500
SINCERE,0.25000,0.91450
SINCERE,0.30000,0.91350
SINCERE,0.35000,0.91100
SINCERE,0.40000,0.90900
SINCERE,0.45000,0.90700
SINCERE,0.50000,0.90550
SINCERE,0.55000,0.90400
SINCERE,0.60000,0.90300
SINCERE,0.65000,0.90050
SINCERE,0.70000,0.89900
SINCERE,0.75000,0.89650
SINCERE,0.80000,0.89400
SINCERE,0.85000,0.89100
SINCERE,0.90000,0.88850
SINCERE,0.95000,0.88300
SINCERE,1.00000,0.88050
SINCERE,1.05000,0.87650
SINCERE,1.10000,0.86950
SINCERE,1.15000,0.86550
SINCERE,1.20000,0.86050
SINCERE,1.25000,0.85400
SINCERE,1.30000,0.84300
SINCERE,1.35000,0.61600
SINCERE,1.40000,0.00000
SINCERE,1.45000,0.00000
SINCERE,1.50000,0.00000
SupCon,0.00000,0.90250
SupCon,0.05000,0.89850
SupCon,0.10000,0.89500
SupCon,0.15000,0.89050
SupCon,0.20000,0.88900
SupCon,0.25000,0.88750
SupCon,0.30000,0.88550
SupCon,0.35000,0.88100
SupCon,0.40000,0.87450
SupCon,0.45000,0.87000
SupCon,0.50000,0.86700
SupCon,0.55000,0.85850
SupCon,0.60000,0.85150
SupCon,0.65000,0.83750
SupCon,0.70000,0.75350
SupCon,0.75000,0.00000
SupCon,0.80000,0.00000
SupCon,0.85000,0.00000
SupCon,0.90000,0.00000
SupCon,0.95000,0.00000
SupCon,1.00000,0.00000
SupCon,1.05000,0.00000
SupCon,1.10000,0.00000
SupCon,1.15000,0.00000
SupCon,1.20000,0.00000
SupCon,1.25000,0.00000
SupCon,1.30000,0.00000
SupCon,1.35000,0.00000
SupCon,1.40000,0.00000
SupCon,1.45000,0.00000
SupCon,1.50000,0.00000
